"name","description","distinguishedname","managedby","whenCreated"
"WS-1968","Lynne Orlowski - ThinkPad W540","CN=WS-1968,OU=Laptops,OU=Phoenix,DC=wma-arch,DC=com","CN=Lynne Jasinski,OU=Users,OU=Phoenix,DC=wma-arch,DC=com","2/26/2018 10:22:45 AM"
"WS-2392","Cameron M. Trefry - ThinkPad X1 Carbon 4th","CN=WS-2392,OU=Laptops,OU=Chicago,DC=wma-arch,DC=com","CN=Cameron M. Trefry,OU=Users,OU=Chicago,DC=wma-arch,DC=com","12/29/2017 6:13:54 AM"
"WS-2394","Maria Rodgers - ThinkPad X1 Carbon 4th","CN=WS-2394,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Maria Rodgers,OU=Users,OU=Irvine,DC=wma-arch,DC=com","3/6/2018 10:09:59 AM"
"WS-2497","Karli Iseman - OptiPlex 9020","CN=WS-2497,OU=Computers,OU=Seattle,DC=wma-arch,DC=com",,"12/23/2016 7:44:26 AM"
"WS-2326","Isaac Hulin- Dell Precision Tower 3620","CN=WS-2326,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com","CN=Isaac Hulin,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","10/3/2016 7:33:07 AM"
"WS-2753","Andrew Jordan - ThinkStation P510","CN=WS-2753,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com","CN=Andrew Jordan,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","7/14/2017 12:35:23 PM"
"WS-2428","TV PC - HP Z2 Mini G3 workstation","CN=WS-2428,OU=TV PCs,OU=Service Computers,OU=ADMIN,DC=wma-arch,DC=com",,"2/16/2017 2:57:23 PM"
"WS-2495","Kevin Bowman - OptiPlex 9020","CN=WS-2495,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com",,"12/20/2016 7:56:58 AM"
"WS-2500","Alex Asadullaev - OptiPlex 9020","CN=WS-2500,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com",,"12/6/2016 10:32:38 AM"
"WS-2797","Adam Burrows - ThinkPad P51","CN=WS-2797,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Adam Burrows,OU=Users,OU=Irvine,DC=wma-arch,DC=com","2/9/2018 8:50:45 AM"
"WS-2310","Nassoro Ally - Surface Pro","CN=WS-2310,OU=Laptops,OU=Chicago,DC=wma-arch,DC=com",,"10/4/2016 7:48:31 AM"
"WS-2775","Greg Blount - ThinkPad P51","CN=WS-2775,OU=Laptops,OU=Denver-JS,DC=wma-arch,DC=com","CN=Greg Blount,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","9/19/2017 10:25:56 AM"
"WS-2823","Christopher Hahn - Blade","CN=WS-2823,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Christopher Hahn,OU=Users,OU=Irvine,DC=wma-arch,DC=com","3/19/2018 3:06:23 PM"
"WS-2719","Samuel Lessard - ThinkStation P510","CN=WS-2719,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com","CN=Samuel Lessard,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","7/14/2017 10:50:19 AM"
"WS-2493","Coco Ferries - OptiPlex 9020","CN=WS-2493,OU=Computers,OU=Seattle,DC=wma-arch,DC=com",,"12/13/2016 10:35:46 AM"
"WS-2446","Ian Crawford - P510 Thinkstation","CN=WS-2446,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com","CN=Ian Crawford,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","3/8/2017 11:43:06 AM"
"WS-2330","David Neill - OptiPlex 9020","CN=WS-2330,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com",,"11/18/2016 10:23:17 AM"
"WS-2321","Test Workstation - Calvin Evans","CN=WS-2321,OU=Computers,OU=Test_OU,DC=wma-arch,DC=com",,"10/3/2016 11:57:23 AM"
"WS-1882","Nabil Ainouche - ThinkStation S30","CN=WS-1882,OU=Computers,OU=Irvine,DC=wma-arch,DC=com","CN=Nabil Ainouche,OU=Users,OU=Irvine,DC=wma-arch,DC=com","3/22/2018 4:35:51 PM"
"WS-2349","Dell Precision Tower 3620","CN=WS-2349,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com",,"10/5/2016 7:29:58 AM"
"WS-2341","Calvin Evans - Surface Pro","CN=WS-2341,OU=Laptops,OU=Denver-JS,DC=wma-arch,DC=com",,"9/14/2016 10:30:14 AM"
"WS-2347","David Nighswonger - Surface Pro","CN=WS-2347,OU=Laptops,OU=Denver-JS,DC=wma-arch,DC=com","CN=David Nighswonger,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","10/5/2016 7:59:26 AM"
"WS-2473","Amanda Casteel - ThinkStation P510","CN=WS-2473,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com","CN=Amanda Casteel,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","11/16/2016 9:24:08 AM"
"WS-2277","Tom Jansen - Laptop","CN=WS-2277,OU=Laptops,OU=Denver-JS,DC=wma-arch,DC=com",,"6/28/2017 8:33:54 AM"
"WS-2475","Jake Ross - ThinkStation P510","CN=WS-2475,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com",,"11/9/2016 9:44:42 AM"
"WS-2477","Jeff Lofquist - ThinkStation P510","CN=WS-2477,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com","CN=Justin Ehart,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","9/28/2016 2:57:25 PM"
"ws-2718","Khalissa Surghani - Optiplex 9010","CN=ws-2718,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com","CN=Khalissa Surghani,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","4/5/2018 10:21:03 AM"
"WS-2350","OptiPlex 9010","CN=WS-2350,OU=Available Computers,OU=ADMIN,DC=wma-arch,DC=com",,"10/4/2016 8:56:47 AM"
"WS-1993","Ilyes Nouizi - ThinkPad X1 Carbon 2nd","CN=WS-1993,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Ilyes Nouizi,OU=Users,OU=Irvine,DC=wma-arch,DC=com","12/28/2017 10:45:44 AM"
"WS-1731","Devon Jefferson - HP Z200 Workstation","CN=WS-1731,OU=Computers,OU=Irvine,DC=wma-arch,DC=com","CN=Devon Jefferson,OU=Users,OU=Irvine,DC=wma-arch,DC=com","3/8/2011 1:55:25 PM"
"WS-2005","Anthony Labastida - X1 Carbon","CN=WS-2005,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com",,"3/28/2018 4:40:32 PM"
"WS-2294","Ruth Brajevich - ThinkPad X1 Carbon 4th","CN=WS-2294,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Ruth Brajevich,OU=Users,OU=Irvine,DC=wma-arch,DC=com","3/8/2018 12:02:20 PM"
"WS-2384","Kenric Billy - OptiPlex 9010","CN=WS-2384,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com",,"1/13/2017 10:41:22 AM"
"WS-1767","Jennifer Euyoqui - HP Z400 Workstation","CN=WS-1767,OU=Computers,OU=Irvine,DC=wma-arch,DC=com","CN=Jennifer Euyoqui,OU=Users,OU=Irvine,DC=wma-arch,DC=com","11/2/2011 2:40:59 PM"
"WS-2492","Kathryn Klima -  OptiPlex 9020","CN=WS-2492,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com",,"12/7/2016 7:41:58 AM"
"WS-2712","Amy Magee - Thinkstaion P510","CN=WS-2712,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com","CN=Amy Magee,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","12/4/2017 7:08:15 AM"
"WS-2449","Ileana Contreras - P510","CN=WS-2449,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com","CN=Ileana Contreras,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","4/3/2017 8:05:45 AM"
"WS-2008","Ruben Jaime - ThinkPad W540","CN=WS-2008,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Ruben Jaime,OU=Users,OU=Irvine,DC=wma-arch,DC=com","3/28/2018 1:11:49 PM"
"WS-1929","Evonne Feeder - T440","CN=WS-1929,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Evonne Feeder,OU=Users,OU=Irvine,DC=wma-arch,DC=com","2/6/2018 8:24:38 AM"
"WS-2480","Hayley Siedlek - Optiplex 9020","CN=WS-2480,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com",,"10/13/2016 9:54:22 AM"
"WS-2344","Ted Swan - Surface Pro","CN=WS-2344,OU=Laptops,OU=Denver-JS,DC=wma-arch,DC=com",,"10/4/2016 1:38:44 PM"
"WS-2312","Optiplex 9020","CN=WS-2312,OU=Available Computers,OU=ADMIN,DC=wma-arch,DC=com",,"10/5/2016 10:57:29 AM"
"WS-1822","Hayden Prillwitz - HP Z420 Workstation","CN=WS-1822,OU=Laptops,OU=Chicago,DC=wma-arch,DC=com","CN=Hayden Prillwitz,OU=Users,OU=Chicago,DC=wma-arch,DC=com","9/28/2016 10:37:38 AM"
"WS-2404","Jacq Marquez - P50","CN=WS-2404,OU=Laptops,OU=Northern California,DC=wma-arch,DC=com",,"5/2/2018 6:18:45 PM"
"WS-1916","Mexico Spare - W530","CN=WS-1916,OU=Laptops,OU=Mexico,DC=wma-arch,DC=com",,"3/27/2018 1:41:28 PM"
"WS-2825","Konstantina Mitrovgenis - Blade","CN=WS-2825,OU=Laptops,OU=Northern California,DC=wma-arch,DC=com","CN=Konstantina Mitrovgenis,OU=Users,OU=Northern California,DC=wma-arch,DC=com","5/4/2018 10:55:05 AM"
"WS-2793","Francisco Oliva - HP Z2 Mini G3 Workstation","CN=WS-2793,OU=Computers,OU=San Diego,DC=wma-arch,DC=com","CN=Francisco Oliva,OU=Users,OU=San Diego,DC=wma-arch,DC=com","2/2/2018 11:16:46 AM"
"WS-2816","Oscar Martinez - HP Z2 Mini G3 Workstation","CN=WS-2816,OU=Computers,OU=Mexico,DC=wma-arch,DC=com",,"3/29/2018 1:14:22 PM"
"WS-2467","Erik Sanchez - ThinkStation P510","CN=WS-2467,OU=Computers,OU=Irvine,DC=wma-arch,DC=com","CN=Erik Sanchez,OU=Users,OU=Irvine,DC=wma-arch,DC=com","4/24/2018 10:25:00 AM"
"WS-1739","Tayla Neugarten - Z400","CN=WS-1739,OU=Computers,OU=Irvine,DC=wma-arch,DC=com","CN=Tayla Neugarten,OU=Users,OU=Irvine,DC=wma-arch,DC=com","12/29/2017 12:11:08 PM"
"WS-2821","Javier Rodriguez - HP Z2 Mini G3 Workstation","CN=WS-2821,OU=Computers,OU=Mexico,DC=wma-arch,DC=com",,"3/9/2018 11:49:52 AM"
"WS-2798","Laci Derks - ThinkPad X1 Carbon 5th","CN=WS-2798,OU=Laptops,OU=San Francisco,DC=wma-arch,DC=com","CN=Laci Derks,OU=Users,OU=Northern California,DC=wma-arch,DC=com","2/22/2018 5:52:26 PM"
"WS-2811","Gary Drew - X1 Carbon","CN=WS-2811,OU=Laptops,OU=Northern California,DC=wma-arch,DC=com","CN=Gary Drew,OU=Users,OU=Northern California,DC=wma-arch,DC=com","2/22/2018 4:52:40 PM"
"WS-2778","Joshua Thompson - X1 Carbon","CN=WS-2778,OU=Laptops,OU=Phoenix,DC=wma-arch,DC=com","CN=Joshua Thompson,OU=Users,OU=San Diego-Downtown,DC=wma-arch,DC=com","4/25/2018 9:15:53 AM"
"WS-2203","Surface Pro 4","CN=WS-2203,OU=Available Computers,OU=ADMIN,DC=wma-arch,DC=com",,"4/26/2018 10:04:39 AM"
"WS-2772","Nancy Streeter - X1 Carbon","CN=WS-2772,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Nancy Streeter,OU=Users,OU=Irvine,DC=wma-arch,DC=com","5/3/2018 2:53:06 PM"
"WS-2771","Ted Heisler - ThinkPad X1 Carbon 5th","CN=WS-2771,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Ted Heisler,OU=Users,OU=Irvine,DC=wma-arch,DC=com","4/3/2018 9:34:25 AM"
"WS-2800","Matt Brady - ThinkPad X1 Yoga 2nd","CN=WS-2800,OU=Laptops,OU=San Diego,DC=wma-arch,DC=com","CN=Matt Brady,OU=Users,OU=Irvine,DC=wma-arch,DC=com","2/2/2018 9:36:47 AM"
"WS-2607","LUMION Resource- Chicago","CN=WS-2607,OU=Computers,OU=Chicago,DC=wma-arch,DC=com",,"1/16/2018 6:44:34 PM"
"WS-2609","Christina Piper - X1 Carbon","CN=WS-2609,OU=Laptops,OU=Chicago-DT,DC=wma-arch,DC=com","CN=Christina Piper,OU=Users,OU=Chicago-DT,DC=wma-arch,DC=com","2/12/2018 8:43:03 AM"
"WS-2606","Marlyn Zucosky - X1 Carbon","CN=WS-2606,OU=Laptops,OU=Princeton,DC=wma-arch,DC=com","CN=Marlyn Zucosky,OU=Users,OU=Princeton,DC=wma-arch,DC=com","11/16/2017 2:46:24 PM"
"WS-2608","Michael Noiles - ThinkPad P51","CN=WS-2608,OU=Laptops,OU=Chicago,DC=wma-arch,DC=com","CN=Michael Noiles,OU=Users,OU=Chicago,DC=wma-arch,DC=com","2/7/2018 12:01:50 PM"
"WS-2552","Iglika Georgieva - ThinkPad P51","CN=WS-2552,OU=Laptops,OU=Chicago,DC=wma-arch,DC=com","CN=Iglika Georgieva,OU=Users,OU=Chicago,DC=wma-arch,DC=com","3/16/2018 11:58:17 AM"
"WS-2610","Frank Di Roma - ThinkPad X1 Carbon 5th","CN=WS-2610,OU=Laptops,OU=Toronto,DC=wma-arch,DC=com","CN=Frank Di Roma,OU=Users,OU=Toronto,DC=wma-arch,DC=com","2/21/2018 11:54:38 AM"
"WS-2812","Radwan Madani - X1 Carbon","CN=WS-2812,OU=Laptops,OU=LA,DC=wma-arch,DC=com","CN=Radwan Madani,OU=Users,OU=LA,DC=wma-arch,DC=com","2/22/2018 4:19:45 PM"
