"managedby","name"
"CN=Braden Blake,OU=Users,OU=Phoenix,DC=wma-arch,DC=com","WS-2057"
"CN=Tatsiana Niaronava,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1991"
,"WS-1943"
,"WS-1885"
,"WS-1905"
,"WS-1942"
,"WS-1837"
,"WS-2097"
,"WS-2143"
,"WS-2148"
,"WS-1930"
,"WS-1802"
,"WS-1936"
"CN=Jonathan Ruffin,OU=Users,OU=Atlanta,DC=wma-arch,DC=com","WS-2002"
,"WS-2063"
,"WS-1713"
,"WS-1710"
,"WS-1624"
,"WS-1998"
"CN=Christopher Setchell,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1951"
"CN=Nolan Mathias,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1974"
,"WS-1615"
,"WS-2031"
,"WS-2070"
"CN=Richard McCullagh,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-2017"
,"ws-2036"
,"ws-2037"
,"WS-1673"
,"WS-1714"
,"ws-2032"
"CN=Alicia Resendes,OU=Users,OU=San Diego,DC=wma-arch,DC=com","WS-2004"
,"ws-2093"
"CN=Joshua Durkee,OU=Users,OU=Northern California,DC=wma-arch,DC=com","WS-2262"
"CN=Janine Sherwood,OU=!Pending Deletion,DC=wma-arch,DC=com","WS-2020"
,"WS-2124"
,"WS-1891"
,"WS-1821"
,"WS-2009"
,"WS-1785"
,"WS-2028"
,"ws-2109"
,"WS-1886"
"CN=Ola Almeski,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1948"
"CN=Angel Alberto Garcia Cerda,OU=Users,OU=Mexico,DC=wma-arch,DC=com","WS-1981"
"CN=Velveth Alarcon,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-2030"
"CN=Maryam Iranmanesh,OU=Users,OU=Irvine,DC=wma-arch,DC=com","WS-1737"
,"ws-1958"
"CN=Kerem Espejel,OU=Users,OU=San Diego-Downtown,DC=wma-arch,DC=com","WS-1860"
